Wallet Address,Credit Score,Total Deposited,Total Borrowed,Total Repaid,Liquidation Events,Repay Ratio,Deposit/Borrow Ratio,Active Days,Risk Category
0x0009ce45d5df78e632a0b4987079432dfba2253a,1000,"41,000,000,000,000,000.00",0.00,0.00,0,0.00,4100000000000000092274688.00,0,Low Risk
0x000a27ba176083e4b50177378cbe7469a00dd557,1000,"276,526,904.00","160,000,000.00","160,082,274.00",0,1.00,1.73,33,Low Risk
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,999,"19,281,445,079,779,706,404,864.00","48,000,000,013,383,270,400.00","13,385,125,834.00",0,0.00,401.70,25,Low Risk
0x000ab43e658935ba39504a1424b01756c1e9644c,1000,"100,000,000,000,000,000.00","10,000,000,000,000,000.00",0.00,0,0.00,10.00,0,Low Risk
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,1000,"220,021,394,145,923,727,360.00",0.00,0.00,0,0.00,22002139414592372816824238080.00,123,Low Risk
0x000c8e2871750f458bf1de8ab528dda09bc95db6,1000,"15,000,000,000,000,000,000,000.00","2,356,000,000,000,000,000,000.00","2,356,000,000,000,000,000,000.00",0,1.00,6.37,0,Low Risk
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,1000,"71,324,576,292,928,848.00","971,000,000.00","921,516,338.00",0,0.95,73454764.46,66,Low Risk
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,1000,"200,272,000,000,000,000,000.00","40,000,000.00","40,108,150.00",0,1.00,5006800000000.00,30,Low Risk
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1000,"1,000,000,000,000,000.00",0.00,0.00,0,0.00,99999999999999991611392.00,0,Low Risk
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1000,"100,000,000,000,000,000.00",0.00,0.00,0,0.00,9999999999999998758486016.00,0,Low Risk
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,1000,"282,569,019,336,372,832.00","879,000,000.00","501,890,779.00",0,0.57,321466461.13,80,Low Risk
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,1000,"2,132,617,238,514,029,056.00",0.00,0.00,0,0.00,213261723851402891866669056.00,20,Low Risk
0x000e840a3122ec28d0c29321db172375cb049762,1000,"383,708,442,044,795,125,760.00","216,908,607.00","217,048,025.00",0,1.00,1768986705284.57,26,Low Risk
0x000e9bd1d42999446d60ff60f1fb3afb13604202,1000,"18,112,655,988,098,609,152.00","35,000,000.00","35,002,269.00",0,1.00,517504456802.82,1,Low Risk
0x000eab293e332bd6e67018a9150e8807bfac3233,1000,"1,200,000,000,000,000,000.00",0.00,0.00,0,0.00,120000000000000002281701376.00,0,Low Risk
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,1000,"56,000,000,000,000,000,000.00",0.00,0.00,0,0.00,5599999999999999854507982848.00,15,Low Risk
0x000f4432a40560bbff1b581a8b7aded8dab80026,1000,"9,284,729,019,012,136,960.00","17,600,000,000.00","17,614,321,013.00",0,1.00,527541421.53,18,Low Risk
0x000f7f22bfc28d940d4b68e13213ab17cf107790,995,"40,826,323,535,271,501,957,693,440.00","34,310,340,193,421,261,092,683,776.00","34,316,052,331,607,702,498,181,120.00",0,1.00,1.19,2,Low Risk
0x000f908720f9ce164d90f4fc89459fab4442907f,999,"1,529,696,501,917,929,439,232.00","793,528,159,068,530,278,400.00","793,555,114,216,778,498,048.00",0,1.00,1.93,1,Low Risk
0x000fbfec300959d0f2f327728a889c1f5de8e2df,1000,"593,233,163,408,688,939,008.00","140,000,000,000,000,000,000.00","140,049,101,164,096,847,872.00",0,1.00,4.24,8,Low Risk
0x0011730224657eb527cf736039854c3a3f140e63,1000,"4,500,000,000,000,000,000,000.00","739,000,000,000,000,000,000.00","739,000,000,000,000,000,000.00",0,1.00,6.09,0,Low Risk
0x00120ea6fdbaf057eadc1bd149f957488444e92c,1000,"236,759,895,699,122,716,672.00","2,608,976.00","2,608,976.00",0,1.00,90748207610618.81,0,Low Risk
